wash,garment,band,orientation,condition,Before transfer,After transfer,value
W000,G1,10,perp,B,0,18,18
W000,G1,1,para,B,0,6,6
W000,G1,2,para,B,0,10,10
W000,G1,3,para,B,0,7,7
W000,G1,4,para,B,0,8,8
W000,G1,5,para,B,0,7,7
W000,G1,6,perp,B,0,12,12
W000,G1,7,perp,B,0,12,12
W000,G1,8,perp,B,0,9,9
W000,G1,9,perp,B,0,11,11
W000,G2,10,perp,B,0,11,11
W000,G2,1,para,B,0,6,6
W000,G2,2,para,B,0,4,4
W000,G2,3,para,B,0,4,4
W000,G2,4,para,B,0,5,5
W000,G2,5,para,B,0,10,10
W000,G2,6,perp,B,0,10,10
W000,G2,7,perp,B,0,12,12
W000,G2,8,perp,B,0,5,5
W000,G2,9,perp,B,0,16,16
W000,G3,10,perp,B,0,6,6
W000,G3,1,para,B,0,5,5
W000,G3,2,para,B,0,12,12
W000,G3,3,para,B,0,8,8
W000,G3,4,para,B,0,9,9
W000,G3,5,para,B,0,9,9
W000,G3,6,perp,B,0,4,4
W000,G3,7,perp,B,0,11,11
W000,G3,8,perp,B,1,12,11
W000,G3,9,perp,B,0,6,6
W000,G4,10,perp,B,0,12,12
W000,G4,1,para,B,0,7,7
W000,G4,2,para,B,0,2,2
W000,G4,3,para,B,0,7,7
W000,G4,4,para,B,0,5,5
W000,G4,5,para,B,0,6,6
W000,G4,6,perp,B,0,6,6
W000,G4,7,perp,B,0,7,7
W000,G4,8,perp,B,0,11,11
W000,G4,9,perp,B,0,10,10
W000,G5,10,perp,B,0,4,4
W000,G5,1,para,B,0,3,3
W000,G5,2,para,B,0,10,10
W000,G5,3,para,B,0,2,2
W000,G5,4,para,B,0,6,6
W000,G5,5,para,B,0,5,5
W000,G5,6,perp,B,0,8,8
W000,G5,7,perp,B,0,4,4
W000,G5,8,perp,B,0,13,13
W000,G5,9,perp,B,0,5,5
W001,G1,10,perp,B,0,14,14
W001,G1,1,para,B,0,24,24
W001,G1,2,para,B,0,13,13
W001,G1,3,para,B,0,22,22
W001,G1,4,para,B,0,9,9
W001,G1,5,para,B,0,15,15
W001,G1,6,perp,B,0,23,23
W001,G1,7,perp,B,0,36,36
W001,G1,8,perp,B,0,28,28
W001,G1,9,perp,B,0,11,11
W001,G2,10,perp,B,0,15,15
W001,G2,1,para,B,0,18,18
W001,G2,2,para,B,0,21,21
W001,G2,3,para,B,0,16,16
W001,G2,4,para,B,0,16,16
W001,G2,5,para,B,0,19,19
W001,G2,6,perp,B,0,16,16
W001,G2,7,perp,B,0,28,28
W001,G2,8,perp,B,0,11,11
W001,G2,9,perp,B,0,15,15
W001,G3,10,perp,B,0,19,19
W001,G3,1,para,B,0,11,11
W001,G3,2,para,B,0,17,17
W001,G3,3,para,B,0,15,15
W001,G3,4,para,B,0,16,16
W001,G3,5,para,B,0,26,26
W001,G3,6,perp,B,0,33,33
W001,G3,7,perp,B,0,20,20
W001,G3,8,perp,B,0,16,16
W001,G3,9,perp,B,0,18,18
W001,G4,10,perp,B,0,24,24
W001,G4,1,para,B,0,19,19
W001,G4,2,para,B,0,16,16
W001,G4,3,para,B,0,22,22
W001,G4,4,para,B,0,11,11
W001,G4,5,para,B,0,20,20
W001,G4,6,perp,B,0,31,31
W001,G4,7,perp,B,0,21,21
W001,G4,8,perp,B,0,34,34
W001,G4,9,perp,B,0,33,33
W001,G5,10,perp,B,0,20,20
W001,G5,1,para,B,0,24,24
W001,G5,2,para,B,0,19,19
W001,G5,3,para,B,0,19,19
W001,G5,4,para,B,0,14,14
W001,G5,5,para,B,0,11,11
W001,G5,6,perp,B,0,25,25
W001,G5,7,perp,B,0,25,25
W001,G5,8,perp,B,1,21,20
W001,G5,9,perp,B,0,12,12
W002,G1,1,para,B,1,18,17
W002,G1,2,para,B,0,10,10
W002,G1,3,para,B,0,16,16
W002,G1,6,perp,B,0,22,22
W002,G1,7,perp,B,0,34,34
W002,G1,8,perp,B,0,21,21
W002,G2,1,para,B,0,23,23
W002,G2,2,para,B,0,23,23
W002,G2,3,para,B,0,15,15
W002,G2,6,perp,B,0,17,17
W002,G2,7,perp,B,0,16,16
W002,G2,8,perp,B,0,12,12
W002,G3,1,para,B,1,27,26
W002,G3,2,para,B,0,10,10
W002,G3,3,para,B,0,13,13
W002,G3,6,perp,B,0,13,13
W002,G3,7,perp,B,0,16,16
W002,G3,8,perp,B,0,14,14
W002,G4,1,para,B,0,17,17
W002,G4,2,para,B,0,24,24
W002,G4,3,para,B,0,16,16
W002,G4,6,perp,B,0,25,25
W002,G4,7,perp,B,0,20,20
W002,G4,8,perp,B,0,28,28
W002,G5,1,para,B,0,21,21
W002,G5,2,para,B,0,18,18
W002,G5,3,para,B,0,20,20
W002,G5,6,perp,B,0,15,15
W002,G5,7,perp,B,0,11,11
W002,G5,8,perp,B,1,21,20
W003,G1,1,para,B,0,17,17
W003,G1,2,para,B,0,22,22
W003,G1,3,para,B,0,14,14
W003,G1,6,perp,B,0,16,16
W003,G1,7,perp,B,0,25,25
W003,G1,8,perp,B,0,34,34
W003,G2,1,para,B,0,16,16
W003,G2,2,para,B,1,17,16
W003,G2,3,para,B,0,19,19
W003,G2,6,perp,B,0,22,22
W003,G2,7,perp,B,0,16,16
W003,G2,8,perp,B,0,19,19
W003,G3,1,para,B,0,16,16
W003,G3,2,para,B,1,22,21
W003,G3,3,para,B,0,20,20
W003,G3,6,perp,B,0,31,31
W003,G3,7,perp,B,0,31,31
W003,G3,8,perp,B,0,19,19
W003,G4,1,para,B,0,22,22
W003,G4,2,para,B,0,12,12
W003,G4,3,para,B,0,18,18
W003,G4,6,perp,B,0,26,26
W003,G4,7,perp,B,0,24,24
W003,G4,8,perp,B,0,15,15
W003,G5,1,para,B,0,11,11
W003,G5,2,para,B,0,11,11
W003,G5,3,para,B,0,15,15
W003,G5,6,perp,B,0,8,8
W003,G5,7,perp,B,0,27,27
W003,G5,8,perp,B,0,23,23
W004,G1,1,para,B,0,20,20
W004,G1,2,para,B,0,15,15
W004,G1,3,para,B,0,15,15
W004,G1,6,perp,B,0,24,24
W004,G1,7,perp,B,0,31,31
W004,G1,8,perp,B,0,24,24
W004,G2,1,para,B,0,16,16
W004,G2,2,para,B,0,21,21
W004,G2,3,para,B,0,20,20
W004,G2,6,perp,B,0,27,27
W004,G2,7,perp,B,0,24,24
W004,G2,8,perp,B,0,13,13
W004,G3,1,para,B,0,39,39
W004,G3,2,para,B,0,33,33
W004,G3,3,para,B,0,24,24
W004,G3,6,perp,B,0,32,32
W004,G3,7,perp,B,0,27,27
W004,G3,8,perp,B,0,21,21
W004,G4,1,para,B,0,16,16
W004,G4,2,para,B,0,25,25
W004,G4,3,para,B,0,27,27
W004,G4,6,perp,B,0,29,29
W004,G4,7,perp,B,0,22,22
W004,G4,8,perp,B,0,38,38
W004,G5,1,para,B,0,27,27
W004,G5,2,para,B,0,19,19
W004,G5,3,para,B,0,29,29
W004,G5,6,perp,B,0,24,24
W004,G5,7,perp,B,0,21,21
W004,G5,8,perp,B,0,26,26
W005,G1,1,para,B,1,27,26
W005,G1,2,para,B,0,16,16
W005,G1,3,para,B,1,21,20
W005,G1,6,perp,B,0,21,21
W005,G1,7,perp,B,0,24,24
W005,G1,8,perp,B,0,18,18
W005,G2,1,para,B,0,24,24
W005,G2,2,para,B,0,16,16
W005,G2,3,para,B,0,19,19
W005,G2,6,perp,B,0,22,22
W005,G2,7,perp,B,0,13,13
W005,G2,8,perp,B,0,14,14
W005,G3,1,para,B,0,29,29
W005,G3,2,para,B,0,16,16
W005,G3,3,para,B,0,6,6
W005,G3,6,perp,B,0,17,17
W005,G3,7,perp,B,0,24,24
W005,G3,8,perp,B,0,34,34
W005,G4,1,para,B,0,16,16
W005,G4,2,para,B,0,17,17
W005,G4,3,para,B,0,15,15
W005,G4,6,perp,B,1,15,14
W005,G4,7,perp,B,0,17,17
W005,G4,8,perp,B,0,19,19
W005,G5,1,para,B,0,12,12
W005,G5,2,para,B,0,15,15
W005,G5,3,para,B,1,21,20
W005,G5,6,perp,B,0,19,19
W005,G5,7,perp,B,0,10,10
W005,G5,8,perp,B,0,12,12
W006,G1,1,para,B,0,23,23
W006,G1,2,para,B,0,15,15
W006,G1,3,para,B,1,14,13
W006,G1,4,para,B,0,15,15
W006,G1,6,perp,B,2,20,18
W006,G1,7,perp,B,0,18,18
W006,G1,8,perp,B,0,23,23
W006,G1,9,perp,B,0,14,14
W006,G2,1,para,B,0,19,19
W006,G2,2,para,B,1,20,19
W006,G2,3,para,B,0,22,22
W006,G2,4,para,B,0,19,19
W006,G2,6,perp,B,1,19,18
W006,G2,7,perp,B,0,36,36
W006,G2,8,perp,B,0,22,22
W006,G2,9,perp,B,0,27,27
W006,G3,1,para,B,0,17,17
W006,G3,2,para,B,0,11,11
W006,G3,3,para,B,0,13,13
W006,G3,4,para,B,0,21,21
W006,G3,6,perp,B,0,12,12
W006,G3,7,perp,B,0,17,17
W006,G3,8,perp,B,1,21,20
W006,G3,9,perp,B,0,17,17
W006,G4,1,para,B,0,14,14
W006,G4,2,para,B,1,7,6
W006,G4,3,para,B,0,9,9
W006,G4,4,para,B,0,16,16
W006,G4,6,perp,B,0,19,19
W006,G4,7,perp,B,0,15,15
W006,G4,8,perp,B,0,23,23
W006,G4,9,perp,B,0,21,21
W006,G5,1,para,B,0,16,16
W006,G5,2,para,B,0,16,16
W006,G5,3,para,B,1,13,12
W006,G5,4,para,B,0,11,11
W006,G5,6,perp,B,0,10,10
W006,G5,7,perp,B,0,14,14
W006,G5,8,perp,B,2,16,14
W006,G5,9,perp,B,0,18,18
W007,G1,1,para,B,0,19,19
W007,G1,2,para,B,0,12,12
W007,G1,3,para,B,0,3,3
W007,G1,6,perp,B,0,23,23
W007,G1,7,perp,B,0,11,11
W007,G1,8,perp,B,0,24,24
W007,G2,1,para,B,0,13,13
W007,G2,2,para,B,0,13,13
W007,G2,3,para,B,1,7,6
W007,G2,6,perp,B,0,18,18
W007,G2,7,perp,B,0,4,4
W007,G2,8,perp,B,1,8,7
W007,G3,1,para,B,0,11,11
W007,G3,2,para,B,1,11,10
W007,G3,3,para,B,0,14,14
W007,G3,6,perp,B,1,15,14
W007,G3,7,perp,B,0,20,20
W007,G3,8,perp,B,0,16,16
W007,G4,1,para,B,0,16,16
W007,G4,2,para,B,0,14,14
W007,G4,3,para,B,0,10,10
W007,G4,6,perp,B,1,22,21
W007,G4,7,perp,B,0,17,17
W007,G4,8,perp,B,0,15,15
W007,G5,1,para,B,1,6,5
W007,G5,2,para,B,0,7,7
W007,G5,3,para,B,0,15,15
W007,G5,6,perp,B,0,11,11
W007,G5,7,perp,B,0,11,11
W007,G5,8,perp,B,1,8,7
W008,G1,1,para,B,0,1,1
W008,G1,2,para,B,2,4,2
W008,G1,3,para,B,0,1,1
W008,G1,6,perp,B,0,7,7
W008,G1,7,perp,B,0,6,6
W008,G1,8,perp,B,0,3,3
W008,G2,1,para,B,0,3,3
W008,G2,2,para,B,0,4,4
W008,G2,3,para,B,0,2,2
W008,G2,6,perp,B,0,3,3
W008,G2,7,perp,B,0,8,8
W008,G2,8,perp,B,0,7,7
W008,G3,1,para,B,0,7,7
W008,G3,2,para,B,0,7,7
W008,G3,3,para,B,0,5,5
W008,G3,6,perp,B,0,9,9
W008,G3,7,perp,B,1,3,2
W008,G3,8,perp,B,0,3,3
W008,G4,1,para,B,0,3,3
W008,G4,2,para,B,0,5,5
W008,G4,3,para,B,0,4,4
W008,G4,6,perp,B,0,9,9
W008,G4,7,perp,B,1,5,4
W008,G4,8,perp,B,0,7,7
W008,G5,1,para,B,1,6,5
W008,G5,2,para,B,0,2,2
W008,G5,3,para,B,1,3,2
W008,G5,6,perp,B,0,8,8
W008,G5,7,perp,B,0,4,4
W008,G5,8,perp,B,1,4,3
W009,G1,1,para,B,0,17,17
W009,G1,2,para,B,0,6,6
W009,G1,3,para,B,0,7,7
W009,G1,6,perp,B,0,13,13
W009,G1,7,perp,B,1,3,2
W009,G1,8,perp,B,0,7,7
W009,G2,1,para,B,1,5,4
W009,G2,2,para,B,0,6,6
W009,G2,3,para,B,0,7,7
W009,G2,6,perp,B,0,6,6
W009,G2,7,perp,B,0,4,4
W009,G2,8,perp,B,0,2,2
W009,G3,1,para,B,0,27,27
W009,G3,2,para,B,0,16,16
W009,G3,3,para,B,0,7,7
W009,G3,6,perp,B,0,10,10
W009,G3,7,perp,B,0,16,16
W009,G3,8,perp,B,2,11,9
W009,G4,1,para,B,0,10,10
W009,G4,2,para,B,0,8,8
W009,G4,3,para,B,0,9,9
W009,G4,6,perp,B,0,11,11
W009,G4,7,perp,B,0,5,5
W009,G4,8,perp,B,0,23,23
W009,G5,1,para,B,0,8,8
W009,G5,2,para,B,0,8,8
W009,G5,3,para,B,0,6,6
W009,G5,6,perp,B,0,13,13
W009,G5,7,perp,B,0,5,5
W009,G5,8,perp,B,1,8,7
W010,G1,1,para,B,0,11,11
W010,G1,2,para,B,0,7,7
W010,G1,3,para,B,0,10,10
W010,G1,6,perp,B,0,3,3
W010,G1,7,perp,B,0,6,6
W010,G1,8,perp,B,1,9,8
W010,G2,1,para,B,0,10,10
W010,G2,2,para,B,0,6,6
W010,G2,3,para,B,0,4,4
W010,G2,6,perp,B,0,11,11
W010,G2,7,perp,B,0,8,8
W010,G2,8,perp,B,0,7,7
W010,G3,1,para,B,0,3,3
W010,G3,2,para,B,0,5,5
W010,G3,3,para,B,0,2,2
W010,G3,6,perp,B,0,8,8
W010,G3,7,perp,B,0,8,8
W010,G3,8,perp,B,0,7,7
W010,G4,1,para,B,0,7,7
W010,G4,2,para,B,0,7,7
W010,G4,3,para,B,0,7,7
W010,G4,6,perp,B,0,7,7
W010,G4,7,perp,B,0,9,9
W010,G4,8,perp,B,0,12,12
W010,G5,1,para,B,0,5,5
W010,G5,2,para,B,1,5,4
W010,G5,3,para,B,1,5,4
W010,G5,6,perp,B,0,2,2
W010,G5,7,perp,B,1,3,2
W010,G5,8,perp,B,0,2,2
W011,G1,10,perp,B,0,7,7
W011,G1,1,para,B,1,5,4
W011,G1,2,para,B,0,2,2
W011,G1,3,para,B,0,4,4
W011,G1,4,para,B,0,4,4
W011,G1,5,para,B,0,4,4
W011,G1,6,perp,B,0,3,3
W011,G1,7,perp,B,0,6,6
W011,G1,8,perp,B,0,6,6
W011,G1,9,perp,B,0,6,6
W011,G2,10,perp,B,1,8,7
W011,G2,1,para,B,0,6,6
W011,G2,2,para,B,0,1,1
W011,G2,3,para,B,NA,8,NA
W011,G2,4,para,B,0,5,5
W011,G2,5,para,B,0,6,6
W011,G2,6,perp,B,0,6,6
W011,G2,7,perp,B,0,3,3
W011,G2,8,perp,B,0,14,14
W011,G2,9,perp,B,0,7,7
W011,G3,10,perp,B,0,4,4
W011,G3,1,para,B,0,10,10
W011,G3,2,para,B,0,10,10
W011,G3,3,para,B,0,7,7
W011,G3,4,para,B,1,8,7
W011,G3,5,para,B,1,5,4
W011,G3,6,perp,B,0,6,6
W011,G3,7,perp,B,0,11,11
W011,G3,8,perp,B,0,13,13
W011,G3,9,perp,B,0,9,9
W011,G4,10,perp,B,0,4,4
W011,G4,1,para,B,0,4,4
W011,G4,2,para,B,0,7,7
W011,G4,3,para,B,0,4,4
W011,G4,4,para,B,1,1,0
W011,G4,5,para,B,0,4,4
W011,G4,6,perp,B,0,1,1
W011,G4,7,perp,B,1,10,9
W011,G4,8,perp,B,0,7,7
W011,G4,9,perp,B,0,4,4
W011,G5,10,perp,B,0,5,5
W011,G5,1,para,B,0,5,5
W011,G5,2,para,B,0,3,3
W011,G5,3,para,B,1,3,2
W011,G5,4,para,B,0,9,9
W011,G5,5,para,B,0,6,6
W011,G5,6,perp,B,0,6,6
W011,G5,7,perp,B,0,6,6
W011,G5,8,perp,B,0,12,12
W011,G5,9,perp,B,0,5,5
W012,G1,1,para,B,0,6,6
W012,G1,2,para,B,0,5,5
W012,G1,3,para,B,1,1,0
W012,G1,6,perp,B,2,11,9
W012,G1,7,perp,B,0,3,3
W012,G1,8,perp,B,0,3,3
W012,G2,1,para,B,0,8,8
W012,G2,2,para,B,0,7,7
W012,G2,3,para,B,0,5,5
W012,G2,6,perp,B,0,10,10
W012,G2,7,perp,B,0,5,5
W012,G2,8,perp,B,1,7,6
W012,G3,1,para,B,0,11,11
W012,G3,2,para,B,1,3,2
W012,G3,3,para,B,0,8,8
W012,G3,6,perp,B,1,4,3
W012,G3,7,perp,B,0,2,2
W012,G3,8,perp,B,0,5,5
W012,G4,1,para,B,0,3,3
W012,G4,2,para,B,0,3,3
W012,G4,3,para,B,0,8,8
W012,G4,6,perp,B,0,4,4
W012,G4,7,perp,B,0,3,3
W012,G4,8,perp,B,1,11,10
W012,G5,1,para,B,0,5,5
W012,G5,2,para,B,0,6,6
W012,G5,3,para,B,1,20,19
W012,G5,6,perp,B,0,9,9
W012,G5,7,perp,B,0,7,7
W012,G5,8,perp,B,0,10,10
W013,G1,1,para,B,0,4,4
W013,G1,2,para,B,0,2,2
W013,G1,3,para,B,1,7,6
W013,G1,6,perp,B,0,4,4
W013,G1,7,perp,B,0,4,4
W013,G1,8,perp,B,0,9,9
W013,G2,1,para,B,0,5,5
W013,G2,2,para,B,0,12,12
W013,G2,3,para,B,0,5,5
W013,G2,6,perp,B,0,6,6
W013,G2,7,perp,B,1,0,-1
W013,G2,8,perp,B,0,7,7
W013,G3,1,para,B,0,7,7
W013,G3,2,para,B,0,6,6
W013,G3,3,para,B,0,2,2
W013,G3,6,perp,B,0,4,4
W013,G3,7,perp,B,0,2,2
W013,G3,8,perp,B,0,4,4
W013,G4,1,para,B,0,7,7
W013,G4,2,para,B,0,4,4
W013,G4,3,para,B,0,5,5
W013,G4,6,perp,B,0,7,7
W013,G4,7,perp,B,1,5,4
W013,G4,8,perp,B,0,7,7
W013,G5,1,para,B,0,4,4
W013,G5,2,para,B,0,3,3
W013,G5,3,para,B,0,4,4
W013,G5,6,perp,B,0,4,4
W013,G5,7,perp,B,0,5,5
W013,G5,8,perp,B,0,1,1
W014,G1,1,para,B,0,9,9
W014,G1,2,para,B,1,2,1
W014,G1,3,para,B,0,3,3
W014,G1,6,perp,B,0,5,5
W014,G1,7,perp,B,0,1,1
W014,G1,8,perp,B,0,2,2
W014,G2,1,para,B,0,4,4
W014,G2,2,para,B,0,0,0
W014,G2,3,para,B,1,4,3
W014,G2,6,perp,B,0,2,2
W014,G2,7,perp,B,0,2,2
W014,G2,8,perp,B,0,7,7
W014,G3,1,para,B,0,4,4
W014,G3,2,para,B,1,2,1
W014,G3,3,para,B,1,7,6
W014,G3,6,perp,B,0,3,3
W014,G3,7,perp,B,0,4,4
W014,G3,8,perp,B,1,6,5
W014,G4,1,para,B,0,6,6
W014,G4,2,para,B,1,1,0
W014,G4,3,para,B,0,6,6
W014,G4,6,perp,B,0,10,10
W014,G4,7,perp,B,1,6,5
W014,G4,8,perp,B,0,13,13
W014,G5,1,para,B,0,15,15
W014,G5,2,para,B,0,5,5
W014,G5,3,para,B,0,5,5
W014,G5,6,perp,B,0,7,7
W014,G5,7,perp,B,0,11,11
W014,G5,8,perp,B,0,13,13
W015,G1,1,para,B,0,6,6
W015,G1,2,para,B,0,2,2
W015,G1,3,para,B,0,2,2
W015,G1,6,perp,B,0,2,2
W015,G1,7,perp,B,0,3,3
W015,G1,8,perp,B,0,5,5
W015,G2,1,para,B,0,4,4
W015,G2,2,para,B,0,7,7
W015,G2,3,para,B,0,5,5
W015,G2,6,perp,B,0,3,3
W015,G2,7,perp,B,0,3,3
W015,G2,8,perp,B,0,5,5
W015,G3,1,para,B,0,7,7
W015,G3,2,para,B,0,8,8
W015,G3,3,para,B,0,4,4
W015,G3,6,perp,B,0,5,5
W015,G3,7,perp,B,0,3,3
W015,G3,8,perp,B,0,1,1
W015,G4,1,para,B,0,6,6
W015,G4,2,para,B,0,6,6
W015,G4,3,para,B,0,3,3
W015,G4,6,perp,B,0,5,5
W015,G4,7,perp,B,0,1,1
W015,G4,8,perp,B,0,5,5
W015,G5,1,para,B,0,7,7
W015,G5,2,para,B,0,1,1
W015,G5,3,para,B,0,7,7
W015,G5,6,perp,B,0,3,3
W015,G5,7,perp,B,0,3,3
W015,G5,8,perp,B,0,7,7
W016,G1,1,para,B,0,3,3
W016,G1,2,para,B,0,3,3
W016,G1,3,para,B,0,0,0
W016,G1,4,para,B,1,1,0
W016,G1,6,perp,B,0,7,7
W016,G1,7,perp,B,0,4,4
W016,G1,8,perp,B,1,2,1
W016,G1,9,perp,B,0,8,8
W016,G2,1,para,B,0,4,4
W016,G2,2,para,B,0,3,3
W016,G2,3,para,B,1,2,1
W016,G2,4,para,B,0,4,4
W016,G2,6,perp,B,0,5,5
W016,G2,7,perp,B,0,3,3
W016,G2,8,perp,B,0,4,4
W016,G2,9,perp,B,0,3,3
W016,G3,1,para,B,0,2,2
W016,G3,2,para,B,0,0,0
W016,G3,3,para,B,0,1,1
W016,G3,4,para,B,0,2,2
W016,G3,6,perp,B,0,5,5
W016,G3,7,perp,B,0,5,5
W016,G3,8,perp,B,0,1,1
W016,G3,9,perp,B,0,1,1
W016,G4,1,para,B,0,5,5
W016,G4,2,para,B,0,2,2
W016,G4,3,para,B,0,4,4
W016,G4,4,para,B,0,10,10
W016,G4,6,perp,B,0,7,7
W016,G4,7,perp,B,0,1,1
W016,G4,8,perp,B,0,7,7
W016,G4,9,perp,B,0,6,6
W016,G5,1,para,B,0,2,2
W016,G5,2,para,B,3,3,0
W016,G5,3,para,B,0,2,2
W016,G5,4,para,B,0,4,4
W016,G5,6,perp,B,0,4,4
W016,G5,7,perp,B,0,1,1
W016,G5,8,perp,B,0,11,11
W016,G5,9,perp,B,0,4,4
W017,G1,1,para,B,1,8,7
W017,G1,2,para,B,0,8,8
W017,G1,3,para,B,0,6,6
W017,G1,6,perp,B,0,4,4
W017,G1,7,perp,B,0,3,3
W017,G1,8,perp,B,0,2,2
W017,G2,1,para,B,0,3,3
W017,G2,2,para,B,0,3,3
W017,G2,3,para,B,0,1,1
W017,G2,6,perp,B,0,4,4
W017,G2,7,perp,B,0,2,2
W017,G2,8,perp,B,0,8,8
W017,G3,1,para,B,1,9,8
W017,G3,2,para,B,0,7,7
W017,G3,3,para,B,0,3,3
W017,G3,6,perp,B,0,7,7
W017,G3,7,perp,B,0,3,3
W017,G3,8,perp,B,0,3,3
W017,G4,1,para,B,0,6,6
W017,G4,2,para,B,0,5,5
W017,G4,3,para,B,0,1,1
W017,G4,6,perp,B,0,5,5
W017,G4,7,perp,B,0,4,4
W017,G4,8,perp,B,0,3,3
W017,G5,1,para,B,0,6,6
W017,G5,2,para,B,0,5,5
W017,G5,3,para,B,0,7,7
W017,G5,6,perp,B,0,1,1
W017,G5,7,perp,B,0,9,9
W017,G5,8,perp,B,0,6,6
W018,G1,1,para,B,0,2,2
W018,G1,6,perp,B,0,7,7
W018,G2,1,para,B,1,0,-1
W018,G2,6,perp,B,0,2,2
W018,G3,1,para,B,0,1,1
W018,G3,6,perp,B,0,0,0
W018,G4,1,para,B,0,1,1
W018,G4,6,perp,B,0,3,3
W018,G5,1,para,B,0,0,0
W018,G5,6,perp,B,0,1,1
W019,G1,1,para,B,1,1,0
W019,G1,2,para,B,0,0,0
W019,G1,3,para,B,0,4,4
W019,G1,6,perp,B,0,3,3
W019,G1,7,perp,B,0,3,3
W019,G1,8,perp,B,0,7,7
W019,G2,1,para,B,0,1,1
W019,G2,2,para,B,0,0,0
W019,G2,3,para,B,0,0,0
W019,G2,6,perp,B,0,7,7
W019,G2,7,perp,B,1,8,7
W019,G2,8,perp,B,0,6,6
W019,G3,1,para,B,0,5,5
W019,G3,2,para,B,0,2,2
W019,G3,3,para,B,0,5,5
W019,G3,6,perp,B,0,2,2
W019,G3,7,perp,B,0,1,1
W019,G3,8,perp,B,1,0,-1
W019,G4,1,para,B,1,4,3
W019,G4,2,para,B,0,2,2
W019,G4,3,para,B,0,3,3
W019,G4,6,perp,B,1,4,3
W019,G4,7,perp,B,0,6,6
W019,G4,8,perp,B,0,1,1
W019,G5,1,para,B,0,3,3
W019,G5,2,para,B,0,1,1
W019,G5,3,para,B,2,0,-2
W019,G5,6,perp,B,0,3,3
W019,G5,7,perp,B,0,1,1
W019,G5,8,perp,B,0,7,7
W020,G1,1,para,B,1,5,4
W020,G1,6,perp,B,0,2,2
W020,G2,1,para,B,0,3,3
W020,G2,6,perp,B,0,5,5
W020,G3,1,para,B,0,4,4
W020,G3,6,perp,B,0,8,8
W020,G4,1,para,B,0,3,3
W020,G4,6,perp,B,0,3,3
W020,G5,1,para,B,0,3,3
W020,G5,6,perp,B,0,4,4
W021,G1,10,perp,B,0,3,3
W021,G1,1,para,B,0,0,0
W021,G1,2,para,B,0,0,0
W021,G1,3,para,B,1,2,1
W021,G1,4,para,B,0,2,2
W021,G1,5,para,B,0,2,2
W021,G1,6,perp,B,0,2,2
W021,G1,7,perp,B,1,1,0
W021,G1,8,perp,B,1,2,1
W021,G1,9,perp,B,0,0,0
W021,G2,10,perp,B,0,1,1
W021,G2,1,para,B,2,4,2
W021,G2,2,para,B,0,2,2
W021,G2,3,para,B,1,1,0
W021,G2,4,para,B,0,1,1
W021,G2,5,para,B,0,3,3
W021,G2,6,perp,B,0,1,1
W021,G2,7,perp,B,1,1,0
W021,G2,8,perp,B,0,5,5
W021,G2,9,perp,B,0,1,1
W021,G3,10,perp,B,0,3,3
